线路号: 1101
9127	1319
9128	1600
9129	1317
9130	41
9131	1873
9132	1599
9136	1609
9137	2293
9138	1593
9140	143
9141	147
9142	2150
9143	1130
9144	167
9145	171
9146	1997
9147	1996
9148	1659
9149	1127
9150	1316
9151	1661
9152	108
9153	1809
9154	192
9155	168
9156	131
9158	185
9160	2240
9161	1866
9163	182
9166	199
9167	1136
9168	202
9169	206
9171	1122
9172	208
9173	1594
9174	1827
9175	184
9176	146
9177	149
9179	2149
9180	2287
9181	100
9182	1999
9184	102
9185	1622
9188	127
9190	2292
9191	2532
9192	27
9193	2374
9194	2295
9195	1995
9196	1608
9198	1601
9200	2534
9204	19
9205	2362
9206	2359
9207	1885
